Sun Jun 21 09:45:44 2020, Epoch 5, lr: 0.0002870, train loss: 0.30652, val loss: 0.31464, acc: 84.59727, qwk: 0.59580
Sun Jun 21 09:50:59 2020, Epoch 6, lr: 0.0002799, train loss: 0.29236, val loss: 0.31334, acc: 86.01036, qwk: 0.67457
Sun Jun 21 09:56:14 2020, Epoch 7, lr: 0.0002714, train loss: 0.28222, val loss: 0.30170, acc: 86.34008, qwk: 0.64960
Sun Jun 21 16:56:58 2020, Epoch 1, lr: 0.0003000, train loss: 0.40571, val loss: 0.42249, acc: 79.36882, qwk: 0.54230
Sun Jun 21 16:59:28 2020, Epoch 2, lr: 0.0002992, train loss: 0.33902, val loss: 0.31285, acc: 85.63354, qwk: 0.64191
Sun Jun 21 17:01:59 2020, Epoch 3, lr: 0.0002967, train loss: 0.30076, val loss: 0.29635, acc: 87.04663, qwk: 0.67540
Sun Jun 21 17:04:30 2020, Epoch 4, lr: 0.0002927, train loss: 0.28610, val loss: 0.30765, acc: 86.52850, qwk: 0.67073
Sun Jun 21 17:06:59 2020, Epoch 5, lr: 0.0002870, train loss: 0.26515, val loss: 0.32370, acc: 85.39802, qwk: 0.60817
Sun Jun 21 17:09:30 2020, Epoch 6, lr: 0.0002799, train loss: 0.24806, val loss: 0.30385, acc: 87.28215, qwk: 0.68586
Sun Jun 21 17:12:00 2020, Epoch 7, lr: 0.0002714, train loss: 0.21977, val loss: 0.32771, acc: 85.91616, qwk: 0.66979
Sun Jun 21 17:14:30 2020, Epoch 8, lr: 0.0002615, train loss: 0.20912, val loss: 0.30750, acc: 86.71691, qwk: 0.67534
Sun Jun 21 17:17:00 2020, Epoch 9, lr: 0.0002504, train loss: 0.19386, val loss: 0.30924, acc: 87.32925, qwk: 0.68586
Sun Jun 21 17:19:30 2020, Epoch 10, lr: 0.0002382, train loss: 0.17534, val loss: 0.36070, acc: 86.34008, qwk: 0.66223
Sun Jun 21 17:21:59 2020, Epoch 11, lr: 0.0002250, train loss: 0.15874, val loss: 0.33355, acc: 86.66981, qwk: 0.66232
Sun Jun 21 17:24:29 2020, Epoch 12, lr: 0.0002110, train loss: 0.14843, val loss: 0.36242, acc: 86.43429, qwk: 0.67920
